nom_beneficiaire,montant
Theatre Musical De Paris,17446000
Association D'Action Sociale En Faveur Des Personnels De La Ville De Paris Et Du Département De Paris,12377000
Association Du Théâtre De La Ville,10900000
Philharmonie De Paris,8400000
Association Pour La Gestion Des Oeuvres Sociales Du Personnel Des Administrations Parisiennes,8039538
Science Créativité Interdisciplinarité Recherche Education,7000000
Office Du Tourisme Et Des Congrès De Paris,6640000
Forum Des Images,6217000
Theatre De La Ville,5950000
Atelier Parisien D'Urbanisme Apur,5913000
Orchestre De Paris,5853200
Atelier Parisien D'Urbanisme,5687000
Office Du Tourisme Et Des Congres De Paris Otcp,5087000
Orchestre De Chambre De Paris,4585000
Paris Ateliers,4140000
Paris Audiovisuel - Maison Européenne De La Photographie,3695490
France Horizon,3513601
Mission Locale De Paris,3270000
Association D'Action Sociale En Faveur Des Personnels De La Ville De Paris Et Du Departement De Paris Aspp,3153000
Paris Et Compagnie,3050000
Association Pour Le Soutien Du Théâtre Privé,2823000
Fondation Oeuvre De La Croix Saint-Simon,2814960
"Pavillon De L'Arsenal - Centre D'Information, De Documentation Et D'Expositions D'Urbanisme Et D'Architecture De Paris Et De La Métropole Parisienne",2388000
Pavillon De L'Arsenal Centre D'Information De Documentation Et D'Exposition D'Urbanisme Et D'Architecture De Paris Et De La Metropole Parisienne,2388000
Abc Puériculture,2257200
Société De Retraite Des Conseillers Municipaux De Paris Et Des Conseillers Généraux De La Seine,2220000
Musée D'Art Et D'Histoire Du Judaïsme,2038805
Fondation De Rothschild,1940295
Société De Retraite Des Conseillers Municipaux De Paris,1812000
Paris Audio Visuel Mep,1737745
Association Internationale Des Maires Et Responsables Des Capitales Et Métropoles Partiellement Ou Entièrement Francophones,1733000
Association Pour Le Soutien Du Theatre Prive,1661500
Societe De Retraites Des Conseillers Municipaux De Paris Et Des Conseillers Generaux De La Seine,1650000
Association Internationale Des Maires Et Responsables Des Capitales Et Metropoles Partiellement Ou Entierement Francophones Aimf,1633000
Laboratoire Paris Region Innovation,1589000
Centre D'Action Sociale Protestant Dans La Region Parisienne,1522608
Emmaus Solidarite,1474281
Croix Rouge Francaise (Nationale),1398871
France Terre D'Asile - Ftda,1390000
Societe De Retraite Des Conseillers Municipaux De Paris,1350000
Institut Des Cultures D'Islam,1300000
Théâtre Silvia Monfort,1250000
Ensemble Paris Emploi Compétences,1250000
Institut D'Education Et Des Pratiques Citoyennes (Iepc),1232831
Ensemble Paris Emploi Competences,1216000
Oeuvre Nouvelle Des Creches Parisiennes,1211154
Coallia,1155620
Puc Volley Ball,1126000
Soliha Paris.Hauts De Seine.Val D'Oise,1107774
La Maison Des Bout'Chou,1071597
